,Date,Price
0,2021-05-14,80879.03
1,2021-05-07,80260.32
2,2021-04-30,80122.1
3,2021-04-23,81343.06
4,2021-04-16,81084.32
5,2021-04-09,80021.07
6,2021-03-26,78925.56
7,2021-03-19,78924.6
8,2021-03-12,75848.5
9,2021-03-05,75494.25
10,2021-02-26,74396.16
11,2021-02-19,78962.41
12,2021-02-12,81022.74
13,2021-02-05,82377.04
14,2021-01-29,78922.76
15,2021-01-22,79325.78
16,2021-01-15,83433.82
17,2021-01-08,82376.05
18,2020-12-18,80792.72
19,2020-12-11,80370.24
20,2020-12-04,78208.45
21,2020-11-27,77637.53
22,2020-11-20,75619.5
23,2020-11-13,76171.73
24,2020-11-06,76189.2
25,2020-10-30,69951.35
26,2020-10-23,72466.15
27,2020-10-16,70921.52
28,2020-10-09,69629.0
29,2020-10-02,68242.22
30,2020-09-25,70607.48
31,2020-09-18,70666.08
32,2020-09-11,70934.89
33,2020-09-04,72487.91
34,2020-08-28,73217.55
35,2020-08-21,72236.95
36,2020-08-14,72113.22
37,2020-08-07,75172.68
38,2020-07-31,76523.66
39,2020-07-24,74902.65
40,2020-07-17,74360.87
41,2020-07-10,72050.39
42,2020-07-03,71605.19
43,2020-06-26,68502.85
44,2020-06-19,70358.71
45,2020-06-12,68313.62
46,2020-06-05,67879.29
47,2020-05-29,66370.28
48,2020-05-22,62077.59
